Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
327,Franco Jara\Franco-Jara,ar ARG,FW,FC Dallas,33-053,1988,10.7,0.65,0.37,0.09,0.47,0.09,0.28,0.84,33.3,0.56,19.3,4.77,24.8,1.4,8.32,9.53,1.12,0.28,0,0.84,0.37,1.03,0.37,0,Matches
329,Cal Jennings\Cal-Jennings,us USA,FW,Los Angeles FC,24-112,1997,1.4,0.71,0,0,0.71,0,0,0.71,0,0.71,25.7,4.29,16.7,4.29,10,11.4,0.71,0,0,0.71,0,0.71,0,0,Matches
331,Bjørn Johnsen\Bjorn-Johnsen,no NOR,FW,CF Montréal,29-304,1991,8.6,1.4,0.7,0.23,0.7,0.47,0.35,1.05,33.3,0.7,25.6,7.09,27.7,1.98,12.3,11.3,1.16,0.35,0,0.81,0.23,1.63,1.16,0.12,Matches
339,Dejan Jovelji?\Dejan-Joveljic,rs SRB,FW,LA Galaxy,22-030,1999,3.6,0.83,0.28,0.28,0.56,0,0.56,0.56,100,0,11.1,4.17,37.5,0.56,4.44,6.11,0.56,0.28,0,0.28,0.28,1.11,0.83,0,Matches
346,Ola Kamara\Ola-Kamara,no NOR,FW,D.C. United,31-326,1989,10,0.5,0.4,0.1,0,0.4,0.2,0.6,33.3,0.4,14.2,4,28.2,0.8,5.5,7.9,0.2,0,0,0.2,0.3,0.8,0.1,0,Matches
362,Patryk Klimala\Patryk-Klimala,pl POL,FW,NY Red Bulls,23-032,1998,12.6,0.32,0.24,0,0.24,0.08,0.08,0.63,12.5,0.56,17.3,4.76,27.5,0.63,5.56,11.1,0.95,0.32,0,0.63,0.16,0.48,0.16,0,Matches
367,Franko Kova?evi?\Franko-Kovacevic,hr CRO,FW,FC Cincinnati,22-029,1999,0.5,0,0,0,0,0,0,0,,0,20,8,40,2,4,14,0,0,0,0,0,0,0,0,Matches
371,Foster Langsdorf\Foster-Langsdorf,us USA,FW,Minnesota Utd,25-266,1995,0.4,2.5,2.5,0,2.5,0,0,2.5,0,2.5,20,5,25,0,10,10,0,0,0,0,0,2.5,0,0,Matches
381,Niccolo Lemoine\Niccolo-Lemoine,us USA,FW,Houston Dynamo,21-149,2000,0.7,1.43,1.43,0,1.43,0,1.43,1.43,100,0,20,2.86,14.3,4.29,12.9,2.86,0,0,0,0,0,1.43,1.43,0,Matches
383,Jonathan Lewis\Jonathan-Lewis,us USA,FW,Colorado Rapids,24-094,1997,6.8,1.32,1.03,0.44,0.88,0,0,0.29,0,0.29,14.6,3.24,22.2,1.76,6.32,6.47,1.03,0.29,0,0.74,0.15,1.47,0.88,0,Matches
389,Robin Lod\Robin-Lod,fi FIN,FW,Minnesota Utd,28-142,1993,11.4,1.4,1.23,0.61,0.53,0.26,0.44,2.02,21.7,1.58,19.2,6.75,35.2,2.63,6.93,9.65,0.96,0.09,0,0.88,0.44,1.84,0.79,0,Matches
394,Lisandro López\Lisandro-Lopez,ar ARG,FW,Atlanta Utd,38-188,1983,1.6,0,0,0,0,0,0,0.63,0,0.63,24.4,6.25,25.6,0,10.6,13.8,1.25,0,0,1.25,0,0,0,0,Matches
414,Douglas Martinez\Douglas-Martinez,hn HON,FW,Real Salt Lake,24-093,1997,0.6,0,0,0,0,0,0,1.67,0,1.67,21.7,5,23.1,1.67,8.33,11.7,3.33,0,0,3.33,0,0,0,0,Matches
415,Josef Martínez\Josef-Martinez,ve VEN,FW,Atlanta Utd,28-110,1993,11.5,0.17,0.17,0.09,0.09,0,0,0.09,0,0.09,5.83,1.48,25.4,0.35,2,3.48,0.43,0,0,0.43,0.35,0.52,0.43,0,Matches
454,Felipe Mora\Felipe-Mora,cl CHI,FW,Portland Timbers,28-035,1993,13.4,0.3,0.22,0,0.15,0.15,0.07,0.15,50,0.07,10.2,2.24,21.9,0.9,4.1,5.22,0.37,0.15,0,0.22,0.45,0.75,1.04,0,Matches
460,Santiago Moreno\Santiago-Moreno,co COL,FW,Portland Timbers,21-138,2000,0.3,6.67,6.67,3.33,0,3.33,0,10,0,10,50,16.7,33.3,30,10,10,0,0,0,0,3.33,10,0,0,Matches
470,Daniel Musovski\Daniel-Musovski,us USA,FW,Los Angeles FC,25-280,1995,3.6,2.78,1.39,0.56,1.11,1.11,0.56,1.11,50,0.56,30.3,6.39,21.1,3.61,10,16.7,0,0,0,0,1.11,3.89,1.11,0,Matches
483,Jaros?aw Niezgoda\Jaroslaw-Niezgoda,pl POL,FW,Portland Timbers,26-175,1995,0.1,0,0,0,0,0,0,0,,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,Matches
484,Chinonso Nnamdi Offor\Chinonso-Nnamdi-Offor,ng NGA,FW,Chicago Fire,21-102,2000,9,1.56,1.11,0.22,0.78,0.56,0.33,1.22,27.3,0.89,19.2,5.22,27.2,2.89,7.67,8.67,1.22,0.22,0,1,0.44,2,0.67,0,Matches
492,Kwadwo Opoku\Kwadwo-Opoku,gh GHA,FW,Los Angeles FC,20-055,2001,2.8,1.43,0.71,0.36,0.36,0.71,0.71,1.43,50,0.71,32.5,9.64,29.7,5.36,11.4,15.7,0.71,0,0,0.71,0.71,2.14,1.43,0,Matches
503,Tyler Pasher\Tyler-Pasher,ca CAN,FW,Houston Dynamo,27-132,1994,7.3,1.23,0.68,0.27,0.41,0.55,0,0.14,0,0.14,9.45,3.97,42,1.64,3.29,4.52,0.82,0,0,0.82,0.27,1.51,0.27,0,Matches
504,Alexandre Pato\Alexandre-Pato,br BRA,FW,Orlando City,32-004,1989,0.9,0,0,0,0,0,0,0,,0,5.56,2.22,40,0,3.33,2.22,0,0,0,0,0,0,0,0,Matches
507,Joshua Penn\Joshua-Penn,us USA,FW,Inter Miami,20-285,2000,0.2,0,0,0,0,0,0,0,,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,Matches
508,Ricardo Pepi\Ricardo-Pepi,us USA,FW,FC Dallas,18-240,2003,15.1,0.99,0.66,0.46,0.4,0.13,0.26,1.26,21.1,0.99,24.8,6.16,24.8,3.38,10.9,10.6,0.33,0.07,0,0.26,0.66,1.66,0.53,0,Matches
515,Jordan Perruzza\Jordan-Perruzza,ca CAN,FW,Toronto FC,20-233,2001,0.7,2.86,1.43,0,2.86,0,0,0,,0,27.1,5.71,21.1,4.29,10,12.9,1.43,0,0,1.43,0,2.86,0,0,Matches
533,Kacper Przyby?ko\Kacper-Przybylko,pl POL,FW,Philadelphia,28-165,1993,18.8,0.53,0.21,0.16,0.21,0.16,0.05,0.53,10,0.48,10.2,2.93,28.8,0.8,4.63,4.73,0.59,0.21,0,0.37,0.21,0.74,1.17,0,Matches
534,Alan Pulido\Alan-Pulido,mx MEX,FW,Sporting KC,30-182,1991,14.7,0.88,0.54,0.07,0.34,0.48,0.07,0.88,7.7,0.82,15,4.15,27.7,0.2,5.99,8.78,0.48,0.2,0,0.27,0.27,1.16,0.2,0,Matches
